This is a backup of mpql’s ID list : https://mpql.net/tools/acnh/codes/item-list/
—————
Empty, FFFE
ocean sunfish, 08E6 [Fish_02278]
hammerhead shark, 08E7 [Fish_02279]
great white shark, 08E8 [Fish_02280]
saw shark, 08E9 [Fish_02281]
whale shark, 08EA [Fish_02282]
oarfish, 08EB [Fish_02283]
coelacanth, 08EC [Fish_02284]
sturgeon, 105D [Fish_04189]
tilapia, 105E [Fish_04190]
betta, 105F [Fish_04191]
snapping turtle, 1060 [Fish_04192]
golden trout, 1061 [Fish_04193]
rainbowfish, 1062 [Fish_04194]
anchovy, 1069 [Fish_04201]
mahi-mahi, 106A [Fish_04202]
suckerfish, 106B [Fish_04203]
barreleye, 106C [Fish_04204]
ranchu goldfish, 1486 [Fish_05254]
 
STR_ItemName_32_DiveFish
seaweed, 0A3C [DiveFish_02620]
sea grapes, 0B0E [DiveFish_02830]
sea urchin, 0B0F [DiveFish_02831]
acorn barnacle, 0B10 [DiveFish_02832]
oyster, 0B11 [DiveFish_02833]
turban shell, 0B12 [DiveFish_02834]
abalone, 0B13 [DiveFish_02835]
pearl oyster, 0B16 [DiveFish_02838]
scallop, 0B17 [DiveFish_02839]
sea anemone, 0B18 [DiveFish_02840]
sea star, 0B19 [DiveFish_02841]
sea cucumber, 0B1A [DiveFish_02842]
sea slug, 0B1B [DiveFish_02843]
flatworm, 0B1C [DiveFish_02844]
mantis shrimp, 0B1D [DiveFish_02845]
sweet shrimp, 0B1E [DiveFish_02846]
tiger prawn, 0B1F [DiveFish_02847]
spiny lobster, 0B20 [DiveFish_02848]
lobster, 0B21 [DiveFish_02849]
snow crab, 0B22 [DiveFish_02850]
red king crab, 0B24 [DiveFish_02852]
spider crab, 0B25 [DiveFish_02853]
octopus, 0B26 [DiveFish_02854]
spotted garden eel, 0B27 [DiveFish_02855]
chambered nautilus, 0B28 [DiveFish_02856]
horseshoe crab, 0B29 [DiveFish_02857]
giant isopod, 0B2A [DiveFish_02858]
firefly squid, 1B08 [DiveFish_06920]
gazami crab, 1C17 [DiveFish_07191]
vampire squid, 1C23 [DiveFish_07203]
gigas giant clam, 1C2E [DiveFish_07214]
sea pineapple, 1C3C [DiveFish_07228]
moon jellyfish, 1C4D [DiveFish_07245]
umbrella octopus, 1C54 [DiveFish_07252]
slate pencil urchin, 1C63 [DiveFish_07267]
whelk, 1C6E [DiveFish_07278]
sea pig, 1C87 [DiveFish_07303]
Dungeness crab, 1C8C [DiveFish_07308]
Venus' flower basket, 1C96 [DiveFish_07318]
mussel, 1CF3 [DiveFish_07411]
 
STR_ItemName_33_Shell
sea snail, 055E [ShellDrift_01374]
venus comb, 055F [ShellDrift_01375]
conch, 0560 [ShellDrift_01376]
sand dollar, 0563 [ShellDrift_01379]
coral, 0564 [ShellDrift_01380]
giant clam, 0565 [ShellDrift_01381]
cowrie, 0566 [ShellDrift_01382]
manila clam, 0A07 [ShellFish_02567]
summer shell, 175E [ShellDrift_05982]
 
STR_ItemName_34_Fossil
ankylo skull, 00A9 [Fossil_00169]
ankylo torso, 00AA [Fossil_00170]
ankylo tail, 00AB [Fossil_00171]
archelon skull, 00B1 [Fossil_00177]
archelon tail, 00B2 [Fossil_00178]
megacero skull, 00B4 [Fossil_00180]
megacero torso, 00B5 [Fossil_00181]
megacero tail, 00B6 [Fossil_00182]
dimetrodon skull, 00B8 [Fossil_00184]
dimetrodon torso, 00B9 [Fossil_00185]
iguanodon skull, 00BC [Fossil_00188]
iguanodon torso, 00BD [Fossil_00189]
iguanodon tail, 00BE [Fossil_00190]
ophthalmo skull, 00C0 [Fossil_00192]
ophthalmo torso, 00C1 [Fossil_00193]
mammoth skull, 00C3 [Fossil_00195]
mammoth torso, 00C4 [Fossil_00196]
pachy skull, 00C6 [Fossil_00198]
pachy tail, 00C7 [Fossil_00199]
parasaur skull, 00CA [Fossil_00202]
parasaur torso, 00CB [Fossil_00203]
parasaur tail, 00CC [Fossil_00204]
ptera body, 00CE [Fossil_00206]
right ptera wing, 00CF [Fossil_00207]
left ptera wing, 00D0 [Fossil_00208]
deinony torso, 00D2 [Fossil_00210]
deinony tail, 00D3 [Fossil_00211]
sabertooth skull, 00D5 [Fossil_00213]
sabertooth tail, 00D6 [Fossil_00214]
diplo skull, 00D8 [Fossil_00216]
diplo neck, 00D9 [Fossil_00217]
diplo chest, 00DA [Fossil_00218]
diplo pelvis, 00DB [Fossil_00219]
diplo tail, 00DC [Fossil_00220]
spino skull, 00DE [Fossil_00222]
spino torso, 00DF [Fossil_00223]
spino tail, 00E0 [Fossil_00224]
stego skull, 00E2 [Fossil_00226]
stego torso, 00E3 [Fossil_00227]
stego tail, 00E4 [Fossil_00228]
plesio skull, 00EA [Fossil_00234]
plesio torso, 00EB [Fossil_00235]
plesio tail, 00EC [Fossil_00236]
T. rex skull, 00EE [Fossil_00238]
T. rex torso, 00EF [Fossil_00239]
T. rex tail, 00F0 [Fossil_00240]
tricera skull, 00F2 [Fossil_00242]
tricera torso, 00F3 [Fossil_00243]
tricera tail, 00F4 [Fossil_00244]
amber, 0126 [Fossil_00294]
ammonite, 0127 [Fossil_00295]
coprolite, 0128 [Fossil_00296]
archaeopteryx, 012A [Fossil_00298]
dinosaur track, 012C [Fossil_00300]
australopith, 012D [Fossil_00301]
shark-tooth pattern, 012E [Fossil_00302]
trilobite, 012F [Fossil_00303]
fossil, 0A13 [FossilUnknown_02579]
anomalocaris, 122B [Fossil_04651]
right megalo side, 1232 [Fossil_04658]
left megalo side, 1233 [Fossil_04659]
dunkleosteus, 1234 [Fossil_04660]
myllokunmingia, 1236 [Fossil_04662]
eusthenopteron, 1237 [Fossil_04663]
acanthostega, 1238 [Fossil_04664]
juramaia, 1239 [Fossil_04665]
brachio skull, 1250 [Fossil_04688]
brachio chest, 1251 [Fossil_04689]
brachio pelvis, 1252 [Fossil_04690]
brachio tail, 1253 [Fossil_04691]
quetzal torso, 1259 [Fossil_04697]
right quetzal wing, 125A [Fossil_04698]
left quetzal wing, 125B [Fossil_04699]
diplo tail tip, 1C53 [Fossil_07251]
 
STR_ItemName_35_Gyroid
xylophoid, 36DE [Gyroid_14046]
babbloid, 36DF [Gyroid_14047]
arfoid, 36E8 [Gyroid_14056]
whistloid, 36E9 [Gyroid_14057]
bwongoid, 36EA [Gyroid_14058]
twangoid, 36EB [Gyroid_14059]
laseroid, 36EC [Gyroid_14060]
squeakoid, 36ED [Gyroid_14061]
tockoid, 36EE [Gyroid_14062]
ringoid, 36EF [Gyroid_14063]
oinkoid, 36F0 [Gyroid_14064]
tremoloid, 36F1 [Gyroid_14065]
bubbloid, 36F2 [Gyroid_14066]
petaloid, 36F3 [Gyroid_14067]
aluminoid, 36FA [Gyroid_14074]
wallopoid, 36FB [Gyroid_14075]
drummoid, 36FC [Gyroid_14076]
dootoid, 36FD [Gyroid_14077]
whirroid, 36FE [Gyroid_14078]
thwopoid, 3700 [Gyroid_14080]
rumbloid, 3701 [Gyroid_14081]
bendoid, 3702 [Gyroid_14082]
boomoid, 3703 [Gyroid_14083]
bloopoid, 3706 [Gyroid_14086]
sproingoid, 3707 [Gyroid_14087]
crumploid, 3708 [Gyroid_14088]
clatteroid, 3709 [Gyroid_14089]
brewstoid, 370A [Gyroid_14090]
scatteroid, 370C [Gyroid_14092]
spikenoid, 370D [Gyroid_14093]
squeezoid, 370E [Gyroid_14094]
flutteroid, 370F [Gyroid_14095]
boioingoid, 3712 [Gyroid_14098]
stelloid, 3713 [Gyroid_14099]
jingloid, 3714 [Gyroid_14100]
rattloid, 3715 [Gyroid_14101]
 
STR_ItemName_36_InsectToy
saw stag model, 1722 [InsectToy_05922]
grand h. hercules model, 1724 [InsectToy_05924]
wasp model, 1727 [InsectToy_05927]
honeybee model, 1728 [InsectToy_05928]
scarab beetle model, 1729 [InsectToy_05929]
flea model, 172F [InsectToy_05935]
mosquito model, 1730 [InsectToy_05936]
horned dynastid model, 1732 [InsectToy_05938]
tiger butterfly model, 1738 [InsectToy_05944]
brown cicada model, 1B86 [InsectToy_07046]
R. Brooke's birdwing model, 1B89 [InsectToy_07049]
red dragonfly model, 1B8A [InsectToy_07050]
grand Q. A. birdwing model, 1B8B [InsectToy_07051]
pondskater model, 1B8C [InsectToy_07052]
ant model, 1B8D [InsectToy_07053]
pill bug model, 1B8E [InsectToy_07054]
wharf roach model, 1B8F [InsectToy_07055]
moth model, 1B90 [InsectToy_07056]
diving beetle model, 1B91 [InsectToy_07057]
darner dragonfly model, 1B92 [InsectToy_07058]
grand goliath beetle model, 1B93 [InsectToy_07059]
fly model, 1B94 [InsectToy_07060]
orchid mantis model, 1B95 [InsectToy_07061]
tiger beetle model, 1B96 [InsectToy_07062]
evening cicada model, 1B97 [InsectToy_07063]
cyclommatus stag model, 1B98 [InsectToy_07064]
firefly model, 1B99 [InsectToy_07065]
dung beetle model, 1B9A [InsectToy_07066]
rice grasshopper model, 1B9B [InsectToy_07067]
mantis model, 1B9C [InsectToy_07068]
stinkbug model, 1B9D [InsectToy_07069]
citrus long-horned b. model, 1B9E [InsectToy_07070]
peacock butterfly model, 1B9F [InsectToy_07071]
snail model, 1BA0 [InsectToy_07072]
grasshopper model, 1BA1 [InsectToy_07073]
earth-boring dung b. model, 1BA2 [InsectToy_07074]
horned atlas model, 1BA3 [InsectToy_07075]
walking leaf model, 1BA4 [InsectToy_07076]
cricket model, 1BA5 [InsectToy_07077]
giant cicada model, 1BA6 [InsectToy_07078]
spider model, 1BA7 [InsectToy_07079]
agrias butterfly model, 1BA8 [InsectToy_07080]
robust cicada model, 1BA9 [InsectToy_07081]
bagworm model, 1BAA [InsectToy_07082]
miyama stag model, 1BAB [InsectToy_07083]
yellow butterfly model, 1BAC [InsectToy_07084]
common butterfly model, 1BAD [InsectToy_07085]
emperor butterfly model, 1BAE [InsectToy_07086]
walking stick model, 1BAF [InsectToy_07087]
rainbow stag model, 1BB0 [InsectToy_07088]
mole cricket model, 1BB1 [InsectToy_07089]
grand b. dragonfly model, 1BB2 [InsectToy_07090]
monarch butterfly model, 1BB3 [InsectToy_07091]
giant stag model, 1BB4 [InsectToy_07092]
golden stag model, 1BB5 [InsectToy_07093]
scorpion model, 1BB6 [InsectToy_07094]
cicada shell model, 1BB7 [InsectToy_07095]
bell cricket model, 1BB8 [InsectToy_07096]
long locust model, 1BB9 [InsectToy_07097]
jewel beetle model, 1BBB [InsectToy_07099]
tarantula model, 1BBD [InsectToy_07101]
ladybug model, 1BBE [InsectToy_07102]
migratory locust model, 1BBF [InsectToy_07103]
walker cicada model, 1BC0 [InsectToy_07104]
violin beetle model, 1BC1 [InsectToy_07105]
hermit crab model, 1BC4 [InsectToy_07108]
grand Atlas moth model, 1BC5 [InsectToy_07109]
horned elephant model, 1BC6 [InsectToy_07110]
common bluebottle model, 1BC7 [InsectToy_07111]
paper kite butterfly model, 1BC8 [InsectToy_07112]
great purple emperor model, 1BC9 [InsectToy_07113]
drone beetle model, 1BCA [InsectToy_07114]
grand giraffe stag model, 1BCB [InsectToy_07115]
man-faced stink bug model, 1BCC [InsectToy_07116]
M. sunset moth model, 1BCD [InsectToy_07117]
blue weevil beetle model, 1BCE [InsectToy_07118]
rosalia batesi beetle model, 1BCF [InsectToy_07119]
giant water bug model, 1BD0 [InsectToy_07120]
damselfly model, 1BD1 [InsectToy_07121]
centipede model, 1CEF [InsectToy_07407]
 
STR_ItemName_37_FishToy
crucian carp model, 1B11 [FishToy_06929]
goldfish model, 1B12 [FishToy_06930]
bitterling model, 1B13 [FishToy_06931]
horse mackerel model, 1B14 [FishToy_06932]
angelfish model, 1B15 [FishToy_06933]
arowana model, 1B17 [FishToy_06935]
sweetfish model, 1B18 [FishToy_06936]
betta model, 1B19 [FishToy_06937]
black bass model, 1B1A [FishToy_06938]
bluegill model, 1B1B [FishToy_06939]
football fish model, 1B1C [FishToy_06940]
butterfly fish model, 1B1D [FishToy_06941]
pop-eyed goldfish model, 1B1E [FishToy_06942]
barreleye model, 1B1F [FishToy_06943]
loach model, 1B20 [FishToy_06944]
nibble fish model, 1B21 [FishToy_06945]
freshwater goby model, 1B22 [FishToy_06946]
ray model, 1B25 [FishToy_06949]
saddled bichir model, 1B26 [FishToy_06950]
blowfish model, 1B27 [FishToy_06951]
gar model, 1B28 [FishToy_06952]
golden trout model, 1B29 [FishToy_06953]
guppy model, 1B2A [FishToy_06954]
ribbon eel model, 1B2B [FishToy_06955]
puffer fish model, 1B2C [FishToy_06956]
olive flounder model, 1B2D [FishToy_06957]
squid model, 1B2E [FishToy_06958]
barred knifejaw model, 1B2F [FishToy_06959]
stringfish model, 1B30 [FishToy_06960]
whale shark model, 1B31 [FishToy_06961]
frog model, 1B32 [FishToy_06962]
blue marlin model, 1B33 [FishToy_06963]
snapping turtle model, 1B34 [FishToy_06964]
dab model, 1B35 [FishToy_06965]
king salmon model, 1B42 [FishToy_06978]
suckerfish model, 1B43 [FishToy_06979]
carp model, 1B44 [FishToy_06980]
clown fish model, 1B45 [FishToy_06981]
sea butterfly model, 1B46 [FishToy_06982]
tuna model, 1B47 [FishToy_06983]
ocean sunfish model, 1B48 [FishToy_06984]
killifish model, 1B49 [FishToy_06985]
catfish model, 1B4B [FishToy_06987]
surgeonfish model, 1B4C [FishToy_06988]
Napoleonfish model, 1B4D [FishToy_06989]
neon tetra model, 1B4E [FishToy_06990]
koi model, 1B4F [FishToy_06991]
anchovy model, 1B57 [FishToy_06999]
pale chub model, 1B58 [FishToy_07000]
tadpole model, 1B59 [FishToy_07001]
saw shark model, 1B5A [FishToy_07002]
char model, 1B5B [FishToy_07003]
pike model, 1B5C [FishToy_07004]
piranha model, 1B5D [FishToy_07005]
arapaima model, 1B5E [FishToy_07006]
giant snakehead model, 1B5F [FishToy_07007]
rainbowfish model, 1B60 [FishToy_07008]
ranchu goldfish model, 1B61 [FishToy_07009]
giant trevally model, 1B62 [FishToy_07010]
oarfish model, 1B63 [FishToy_07011]
salmon model, 1B64 [FishToy_07012]
great white shark model, 1B65 [FishToy_07013]
mahi-mahi model, 1B66 [FishToy_07014]
hammerhead shark model, 1B67 [FishToy_07015]
coelacanth model, 1B68 [FishToy_07016]
soft-shelled turtle model, 1B69 [FishToy_07017]
sea bass model, 1B6A [FishToy_07018]
mitten crab model, 1B6B [FishToy_07019]
red snapper model, 1B6C [FishToy_07020]
sea horse model, 1B6D [FishToy_07021]
tilapia model, 1B6E [FishToy_07022]
sturgeon model, 1B6F [FishToy_07023]
dace model, 1B70 [FishToy_07024]
moray eel model, 1B71 [FishToy_07025]
pond smelt model, 1B72 [FishToy_07026]
cherry salmon model, 1B73 [FishToy_07027]
yellow perch model, 1B74 [FishToy_07028]
crawfish model, 1B75 [FishToy_07029]
zebra turkeyfish model, 1E9C [FishToy_07836]
dorado model, 1E9D [FishToy_07837]
 
STR_ItemName_40_Plant
apple, 08A5 [Fruit_02213]
orange, 08A6 [Fruit_02214]
pear, 08ED [Fruit_02285]
peach, 08EE [Fruit_02286]
cherry, 08EF [Fruit_02287]
coconut, 08F0 [Fruit_02288]
bamboo shoot, 08F7 [Vegetable_02295]
red cosmos, 0900 [Flower_02304]
white cosmos, 0901 [Flower_02305]
tomato, 0A0A [Vegetable_02570]
clump of weeds, 0A40 [Weed_02624]
red-cosmos bag, 0A42 [FlowerSeed_02626]
red-cosmos stems, 0A43 [FlowerBud_02627]
red-cosmos buds, 0A44 [FlowerBud_02628]
white-cosmos bag, 0A45 [FlowerSeed_02629]
white-cosmos stems, 0A46 [FlowerBud_02630]
white-cosmos buds, 0A47 [FlowerBud_02631]
tomato start, 0A59 [VegeSeedling_02649]
medium tomato sprout, 0A5B [VegeTree_02651]
large tomato sprout, 0A5C [VegeTree_02652]
sapling, 0AEA [TreeSeedling_02794]
small young hardwood, 0AEC [Tree_02796]
medium young hardwood, 0AED [Tree_02797]
large young hardwood, 0AEE [Tree_02798]
hardwood tree, 0AEF [Tree_02799]
cedar sapling, 0AF0 [TreeSeedling_02800]
small young cedar, 0AF2 [Tree_02802]
medium young cedar, 0AF3 [Tree_02803]
large young cedar, 0AF4 [Tree_02804]
cedar tree, 0AF5 [Tree_02805]
nursery coconut, 0AF6 [Tree_02806]
small young coconut, 0AF7 [Tree_02807]
medium young coconut, 0AF8 [Tree_02808]
large young coconut, 0AF9 [Tree_02809]
coconut tree, 0AFA [Tree_02810]
nursery bamboo, 0AFB [Tree_02811]
small young bamboo, 0AFC [Tree_02812]
medium young bamboo, 0AFD [Tree_02813]
large young bamboo, 0AFE [Tree_02814]
bamboo tree, 0AFF [Tree_02815]
white-azalea start, 0B04 [BushSeedling_02820]
young white azalea, 0B2C [Bush_02860]
white-azalea bush, 0B2D [Bush_02861]
yellow cosmos, 0B2F [Flower_02863]
yellow-cosmos bag, 0B30 [FlowerSeed_02864]
yellow-cosmos stems, 0B31 [FlowerBud_02865]
yellow-cosmos buds, 0B32 [FlowerBud_02866]
pink cosmos, 0B33 [Flower_02867]
pink-cosmos stems, 0B35 [FlowerBud_02869]
pink-cosmos buds, 0B36 [FlowerBud_02870]
orange cosmos, 0B37 [Flower_02871]
orange-cosmos stems, 0B39 [FlowerBud_02873]
orange-cosmos buds, 0B3A [FlowerBud_02874]
black cosmos, 0B3B [Flower_02875]
black-cosmos stems, 0B3D [FlowerBud_02877]
black-cosmos buds, 0B3E [FlowerBud_02878]
white tulips, 0B3F [Flower_02879]
white-tulip bag, 0B40 [FlowerSeed_02880]
white-tulip stems, 0B41 [FlowerBud_02881]
white-tulip buds, 0B42 [FlowerBud_02882]
red tulips, 0B43 [Flower_02883]
red-tulip bag, 0B44 [FlowerSeed_02884]
red-tulip stems, 0B45 [FlowerBud_02885]
red-tulip buds, 0B46 [FlowerBud_02886]
yellow tulips, 0B47 [Flower_02887]
yellow-tulip bag, 0B48 [FlowerSeed_02888]
yellow-tulip stems, 0B49 [FlowerBud_02889]
yellow-tulip buds, 0B4A [FlowerBud_02890]
pink tulips, 0B4B [Flower_02891]
pink-tulip stems, 0B4D [FlowerBud_02893]
pink-tulip buds, 0B4E [FlowerBud_02894]
orange tulips, 0B4F [Flower_02895]
orange-tulip stems, 0B51 [FlowerBud_02897]
orange-tulip buds, 0B52 [FlowerBud_02898]
purple tulips, 0B53 [Flower_02899]
purple-tulip stems, 0B55 [FlowerBud_02901]
purple-tulip buds, 0B56 [FlowerBud_02902]
black tulips, 0B57 [Flower_02903]
black-tulip stems, 0B59 [FlowerBud_02905]
black-tulip buds, 0B5A [FlowerBud_02906]
white pansies, 0B5B [Flower_02907]
white-pansy bag, 0B5C [FlowerSeed_02908]
white-pansy stems, 0B5D [FlowerBud_02909]
white-pansy buds, 0B5E [FlowerBud_02910]
red pansies, 0B5F [Flower_02911]
red-pansy bag, 0B60 [FlowerSeed_02912]
red-pansy stems, 0B61 [FlowerBud_02913]
red-pansy buds, 0B62 [FlowerBud_02914]
yellow pansies, 0B63 [Flower_02915]
yellow-pansy bag, 0B64 [FlowerSeed_02916]
yellow-pansy stems, 0B65 [FlowerBud_02917]
yellow-pansy buds, 0B66 [FlowerBud_02918]
orange pansies, 0B67 [Flower_02919]
orange-pansy stems, 0B69 [FlowerBud_02921]
orange-pansy buds, 0B6A [FlowerBud_02922]
purple pansies, 0B6B [Flower_02923]
purple-pansy stems, 0B6D [FlowerBud_02925]
purple-pansy buds, 0B6E [FlowerBud_02926]
blue pansies, 0B6F [Flower_02927]
blue-pansy stems, 0B71 [FlowerBud_02929]
blue-pansy buds, 0B72 [FlowerBud_02930]
white roses, 0B73 [Flower_02931]
white-rose bag, 0B74 [FlowerSeed_02932]
white-rose stems, 0B75 [FlowerBud_02933]
white-rose buds, 0B76 [FlowerBud_02934]
red roses, 0B77 [Flower_02935]
red-rose bag, 0B78 [FlowerSeed_02936]
red-rose stems, 0B79 [FlowerBud_02937]
red-rose buds, 0B7A [FlowerBud_02938]
yellow roses, 0B7B [Flower_02939]
yellow-rose bag, 0B7C [FlowerSeed_02940]
yellow-rose stems, 0B7D [FlowerBud_02941]
yellow-rose buds, 0B7E [FlowerBud_02942]
pink roses, 0B7F [Flower_02943]
pink-rose stems, 0B81 [FlowerBud_02945]
pink-rose buds, 0B82 [FlowerBud_02946]
orange roses, 0B83 [Flower_02947]
orange-rose stems, 0B85 [FlowerBud_02949]
orange-rose buds, 0B86 [FlowerBud_02950]
purple roses, 0B87 [Flower_02951]
purple-rose stems, 0B89 [FlowerBud_02953]
purple-rose buds, 0B8A [FlowerBud_02954]
black roses, 0B8B [Flower_02955]
black-rose stems, 0B8D [FlowerBud_02957]
black-rose buds, 0B8E [FlowerBud_02958]
blue roses, 0B8F [Flower_02959]
blue-rose stems, 0B91 [FlowerBud_02961]
blue-rose buds, 0B92 [FlowerBud_02962]
gold roses, 0B93 [Flower_02963]
gold-rose stems, 0B95 [FlowerBud_02965]
gold-rose buds, 0B96 [FlowerBud_02966]
white lilies, 0BA3 [Flower_02979]
white-lily bag, 0BA4 [FlowerSeed_02980]
white-lily stems, 0BA5 [FlowerBud_02981]
white-lily buds, 0BA6 [FlowerBud_02982]
red lilies, 0BA7 [Flower_02983]
red-lily bag, 0BA8 [FlowerSeed_02984]
red-lily stems, 0BA9 [FlowerBud_02985]
red-lily buds, 0BAA [FlowerBud_02986]
yellow lilies, 0BAB [Flower_02987]
yellow-lily bag, 0BAC [FlowerSeed_02988]
yellow-lily stems, 0BAD [FlowerBud_02989]
yellow-lily buds, 0BAE [FlowerBud_02990]
pink lilies, 0BAF [Flower_02991]
pink-lily stems, 0BB1 [FlowerBud_02993]
pink-lily buds, 0BB2 [FlowerBud_02994]
orange lilies, 0BB3 [Flower_02995]
orange-lily stems, 0BB5 [FlowerBud_02997]
orange-lily buds, 0BB6 [FlowerBud_02998]
black lilies, 0BB7 [Flower_02999]
black-lily stems, 0BB9 [FlowerBud_03001]
black-lily buds, 0BBA [FlowerBud_03002]
red-hibiscus start, 0BCB [BushSeedling_03019]
young red hibiscus, 0BCD [Bush_03021]
red-hibiscus bush, 0BCE [Bush_03022]
holly start, 0BD0 [BushSeedling_03024]
young holly, 0BD2 [Bush_03026]
holly bush, 0BD3 [Bush_03027]
wheat, 0BD5 [Vegetable_03029]
wheat start, 0BD6 [VegeSeedling_03030]
small wheat sprout, 0BD7 [VegeTree_03031]
medium wheat sprout, 0BD8 [VegeTree_03032]
large wheat sprout, 0BD9 [VegeTree_03033]
sugarcane, 0BDA [Vegetable_03034]
sugarcane start, 0BDB [VegeSeedling_03035]
medium sugarcane sprout, 0BDD [VegeTree_03037]
large sugarcane sprout, 0BDE [VegeTree_03038]
potato, 0BDF [Vegetable_03039]
seed potato, 0BE0 [VegeSeedling_03040]
medium potato sprout, 0BE2 [VegeTree_03042]
large potato sprout, 0BE3 [VegeTree_03043]
carrot, 0BE4 [Vegetable_03044]
carrot start, 0BE5 [VegeSeedling_03045]
small carrot sprout, 0BE6 [VegeTree_03046]
medium carrot sprout, 0BE7 [VegeTree_03047]
large carrot sprout, 0BE8 [VegeTree_03048]
small pumpkin sprout, 0BEC [VegeTree_03052]
medium pumpkin sprout, 0BED [VegeTree_03053]
elegant mushroom, 0CCC [Mushroom_03276]
round mushroom, 0CCD [Mushroom_03277]
skinny mushroom, 0CCE [Mushroom_03278]
flat mushroom, 0CCF [Mushroom_03279]
rare mushroom, 0CD0 [Mushroom_03280]
nursery apple, 0D1C [Tree_03356]
small young apple, 0D1D [Tree_03357]
medium young apple, 0D1E [Tree_03358]
large young apple, 0D1F [Tree_03359]
apple tree, 0D20 [Tree_03360]
nursery orange, 0D21 [Tree_03361]
small young orange, 0D22 [Tree_03362]
medium young orange, 0D23 [Tree_03363]
large young orange, 0D24 [Tree_03364]
orange tree, 0D25 [Tree_03365]
nursery pear, 0D26 [Tree_03366]
small young pear, 0D27 [Tree_03367]
medium young pear, 0D28 [Tree_03368]
large young pear, 0D29 [Tree_03369]
pear tree, 0D2A [Tree_03370]
nursery peach, 0D2B [Tree_03371]
small young peach, 0D2C [Tree_03372]
medium young peach, 0D2D [Tree_03373]
large young peach, 0D2E [Tree_03374]
peach tree, 0D2F [Tree_03375]
nursery cherry, 0D31 [Tree_03377]
small young cherry, 0D32 [Tree_03378]
medium young cherry, 0D33 [Tree_03379]
large young cherry, 0D34 [Tree_03380]
cherry tree, 0D35 [Tree_03381]
white windflowers, 0E7D [Flower_03709]
white-windflower bag, 0E7E [FlowerSeed_03710]
white-windflower stems, 0E7F [FlowerBud_03711]
white-windflower buds, 0E80 [FlowerBud_03712]
orange windflowers, 0E81 [Flower_03713]
orange-windflower bag, 0E82 [FlowerSeed_03714]
orange-windflower stems, 0E83 [FlowerBud_03715]
orange-windflower buds, 0E84 [FlowerBud_03716]
blue windflowers, 0E85 [Flower_03717]
blue-windflower stems, 0E86 [FlowerBud_03718]
blue-windflower buds, 0E87 [FlowerBud_03719]
pink windflowers, 0E88 [Flower_03720]
pink-windflower stems, 0E89 [FlowerBud_03721]
pink-windflower buds, 0E8A [FlowerBud_03722]
red windflowers, 0E8B [Flower_03723]
red-windflower bag, 0E8C [FlowerSeed_03724]
red-windflower stems, 0E8D [FlowerBud_03725]
red-windflower buds, 0E8E [FlowerBud_03726]
purple windflowers, 0E8F [Flower_03727]
purple-windflower stems, 0E90 [FlowerBud_03728]
purple-windflower buds, 0E91 [FlowerBud_03729]
white hyacinths, 0E92 [Flower_03730]
